  Old ID    New ID      Slot  Custom Name                               Replacement Item
------------------------------------------------------------------------------------------
     493     11062     Rings  Oswald's Slick Ring                       Crisanta\
     494     28208      Feet  Oswald's Slime Sandals                    Beatrice\
     500     27564     Rings  Callista's Caustic Ring                   Andromeda\
     503     27574     Rings  Proteus's Shifting Ring                   Lazaro\
     506     23661      Feet  Salvatore's Wader Boots                   Maxixi Toe Shoes +3
     512     28575     Rings  Tiberius's Rushing Ring                   Patricia\
     515     27568     Rings  Delacroix's Abyssal Ring                  Crescentia\
     518     23684      Feet  Loretta's Stomper Boots                   Ernest's Tremor Boots
     521     26349     Waist  Thaddeus's Trample Belt                   Bonaventura\
     524     28550     Rings  Crisanta's Charge Ring                    Adalbert\
     530     10789     Rings  Clemens's Stumbler Ring                   Valentinus\
     533     26345     Waist  Bartholomew's Stone Belt                  Balthazar\
     536     23685      Feet  Conrad's Earthshaker Boots                Tom's Hop Boots
     539     28547     Rings  Theobald's Worldbreaker Ring              Agrippa\
     541     28534     Rings  Mortimer's Bark Ring                      Oswald\
     542     23686      Feet  Mortimer's Root Sandals                   Theodore's Dash Greaves
     544     28523      Ears  Aldric's Heartwood Earring                Edgar\
     548     28542     Rings  Elspeth's Nature's Ring                   Mortimer\
     551     28564     Rings  Wilhelmina's Canopy Ring                  Tortuga\
     553     26082      Ears  Marcelino's Prankster Earring             Rocco\
     554     10786     Rings  Marcelino's Trick Ring                    Sigrid\
     560     28553     Rings  Hieronymus's Imp Ring                     Wilhelmus\
     563     28579     Rings  Gregoire's Mayhem Ring                    Tancred\
     565     28549     Rings  Tortuga's Lantern Ring                    Marcelino\
     566     23687      Feet  Tortuga's Grudge Boots                    Douglas's Roller Boots
     572     11059     Rings  Giuliana's Karma Ring                     Fiorentina\
     575     10785     Rings  Last Tonberry's Legend Ring               Theron\
     577     23688      Feet  Rocco's River Boots                       Little Jim's Big Boots
     578     26083      Ears  Rocco's Current Earring                   Persephone\
     581     28601      Back  Thessaly's Reef Mantle                    Frederica\
     584     10783     Rings  Baldassare's Deep Ring                    Agatha\
     587     10787     Rings  Desideria's Trident Ring                  Ptolemais\
     589     26089      Ears  Persephone's Featherlight Earring         Svetlana\
     590     28217      Feet  Persephone's Gallop Shoes                 Brendan\
     592     11007      Back  Theron's Storm Mantle                     Sven\
     593     10791     Rings  Theron's Gale Ring                        Corneline\
     596     28436     Waist  Sabastienne's Wing Belt                   Clyde\
     599     10792     Rings  Hieronyma's Ascent Ring                   Emerick\
     601     26099      Ears  Fiorentina's Downy Earring                Mycelium Medal
     602     10794     Rings  Fiorentina's Talon Ring                   Phantasia\
     605     11000      Back  Sigismund's Gale Mantle                   Gertrude\
     608     10795     Rings  Tancred's Thunderstrike Ring              Euphemia\
     610     23717      Body  Andromeda's Skyshatter Plate              Apollinarius\
     611     10793     Rings  Andromeda's Legend Ring                   Wilhemina\
     613     10790     Rings  Sebastiano's Prickly Ring                 Dervish\
     614     28339      Feet  Sebastiano's Sand Boots                   Reginald\
     616     27620      Back  Pradinelda's Desert Mantle                Wenceslas\
     617     28410     Waist  Pradinelda's Spine Belt                   Lorcan\
     620     10761     Rings  Serafina's Oasis Ring                     Petronio\
     622     27797      Body  Lazaro's Cacti King Plate                 Diomedea\
